model_id,link_type,material,material-age,material-age-velocity
link_0742,pipe,G2,G3,G5
link_0743,pipe,G2,G3,G5
link_0744,pipe,G2,G3,G5
link_0745,pipe,G2,G3,G5
link_0746,pipe,G2,G3,G5
link_0747,pipe,G2,G3,G5
link_0748,pipe,G2,G3,G5
link_0749,pipe,G2,G3,G5
link_0750,pipe,G1,G2,G3
link_0751,pipe,G2,G3,G5
link_0752,pipe,G1,G1,G1
link_0753,pipe,G1,G1,G1
link_0754,pipe,G1,G1,G1
link_0755,pipe,G1,G1,G1
link_0756,pipe,G1,G1,G1
link_0757,pipe,G1,G1,G1
link_0758,pipe,G1,G2,G3
link_0759,pipe,G1,G1,G2
link_0760,pipe,G1,G1,G2
link_0761,pipe,G1,G1,G2
link_0762,pipe,G1,G1,G1
link_0763,pipe,G1,G1,G2
link_0764,pipe,G1,G2,G4
link_0765,pipe,G1,G1,G1
link_0766,pipe,G1,G1,G1
link_0767,pipe,G1,G1,G1
link_0768,pipe,G1,G1,G1
link_0769,pipe,G1,G1,G1
link_0770,pipe,G1,G2,G3
link_0771,pipe,G2,G3,G5
